1262139860904804353,2020-05-17 21:56:06,"Ursachenforschung nach #männerwelten 
Wie Männer sexuelle Belästigung lernen – der 1. Schritt:
Die üblichen Paarungsregeln verdonnern Männern nach wie vor zum 1. Schritt. Ich muss sagen ich stelle es mir v.a. ungeübt nicht einfach vor. Du musst dich trauen, ...(1/x)",16,3,born_feminist
1262139629651865600,2020-05-17 21:55:11,"#Männerwelten

Wichtige 15 Minuten, gestaltet von #jokoundklaas. 

Danke dafür!

https://t.co/SXwPA6tZT2",2,0,kritikkultur
1262139305285255168,2020-05-17 21:53:54,"@k1ng_h4nkY Die meisten Geschichten hier hören sich wie unerfüllte Teenieträume an. Nicht so ernst nehmen, es nur Twitter, der Treffpunkt derer, die nichts Besseres zu tun haben. #Männerwelten",0,0,DirkZett
1262138426830323713,2020-05-17 21:50:25,"@Jan_Deichmohle Nur der ist Opfer, der eines sein will. Und einseitige Pflichten machen eigentlich Spaß (gefährliches) oder sind lehrreich (Alimente).#Männerwelten",0,0,DirkZett
1262138021618556935,2020-05-17 21:48:48,"@yolo202016 Der #JoyClub ist vor allem eine #sexistische Scheißplattform die ihre User regelmäßig zur Festivalsaison mit #NonCon-Fantasien und -Geschichten zu weiteren #sexuellen #Übergriffen anregt.

#MeToo 
#MenToo 
#MännerWelten 
#FrauenWelten

https://t.co/NuHiac8Vao",1,0,SchlimmeDinge
1262134575133851648,2020-05-17 21:35:06,"@Aeskulappirat . Das sowieso. Aber die Frage ist, ob man aktiv etwas tun kann? Die Gesellschaftsordnung runderneuern? Mehr Frauenhäuser - oder was? #maennerwelten",0,0,Stoertebeker68
1262133196944281604,2020-05-17 21:29:38,@KuttnerSarah Aufgrund Blackout nichts mehr weiß. Nur eine von einigen Geschichten die ich erzählen könnten. (3/3)  #maennerwelten,1,0,Bierfee2
1262133003456860161,2020-05-17 21:28:51,"So sind sie, die Jungs. Hoffentlich landet das Video jetzt nicht bei #Männerwelten wegen sexueller Belästigung. Womit letztere keineswegs verharmlost werden soll. Schlimme Sache!!! Aber vielleicht wird gerade ein etwas verzerrtes Bild von Männern gezeichnet? https://t.co/rvYZez8pPH",2,0,Konvolutius
1262126378826248192,2020-05-17 21:02:32,"@Teletabbii Ja, so ist es. Dsbei sind Lineman im Americsn Football oder Sumoringer, Strongman oder Werfer  der beste Beweis, dss das nicht stimmt. Mach dir nichts aus den Döspaddeln, es ist ein Kampf gegen Windmühlen. Und dafür wird es auch keine Show a la #maennerwelten geben.",0,0,andreb555
1262123583427526657,2020-05-17 20:51:26,"So wichtiges Thema und so wahre ernste 15 Minuten #maennerwelten.  Realität,  kann man nicht wegdiskutieren. Danke @jokoundklaas https://t.co/UP0b330mbp",3,0,Margit_Zoeller
1262123269697798146,2020-05-17 20:50:11,"HILFE!!!

Ich befürchte, mir wurde gerade ein sog. #Dickpic mit einer anrüchigen Textbotschaft in die Timeline gespült!!!

Wie muss ich mich jetzt verhalten, @jokoundklaas?

#Maennerwelten #Satire 🤡 https://t.co/SiB5k3Es4m",8,0,FrankenDemo
1262123124096712705,2020-05-17 20:49:36,"@helmutwindmann Als Deutscher sollte man zumindest einigermaßen mit der deutschen Orthografie &amp; Grammatik vertraut sein, oder? Ich schenke Dir mal ein paar Punkte ..... &amp; Kommata ,,,,
Ach übrigens: das ungefragte Versenden von Dickpics ist strafbar. Oder sind das Bewerbungen für #maennerwelten?",0,0,Sid_Amos_666
1262121475240230913,2020-05-17 20:43:03,@KuttnerSarah Ich war ungefähr 12 und ein dorfbekannter Alki drückt mich neben der Pommesbude an die Wand. Er quetscht meine Brust und versucht seine Zunge in meinen Mund zu schieben. Es war so ekelhaft. Habe mich geschämt und es niemandem erzählt. #maennerwelten,0,0,NicoleReimann4
1262118241335377920,2020-05-17 20:30:12,@SnowDog17712476 #männerwelten nicht angekommen? Schade. https://t.co/DUDEUaLYaQ,1,0,frustfliege
1262117266147196930,2020-05-17 20:26:19,"@Andrea0966 @Svoinscha @KuttnerSarah Das einzige worüber ich mein Urteil gefällt habe ist die Tatsache das dieser Hashtag doch irgendwie wie zum fremdschämen ist....#Männerwelten...Lego spielen
Autos , Fussball und dann halt irgendwann Frauen vergewaltigen..  so kommts rüber..Das war eigentlich alles!",0,0,InBatgirl
1262115444938457093,2020-05-17 20:19:05,"Ich bin 13. Ich trage ein Trägershirt. Eine Gruppe erwachsener Männer ruft und pfeift mir hinterher. „Dicke Titten“. „Geil“. Über 20 Jahre her und ich erinnere mich, wie sehr ich mich geschämt habe. 
#maennerwelten #männerwelten",2,0,AccountZweite
1262114871115747333,2020-05-17 20:16:48,"Viele von denen die hier auf Twitter den Beitrag #maennerwelten abfeiern, schreiben täglich, wie gerne sie doch mal wieder gef*ckt werden wollen und sagen dann ""Ja werde auch so oft im Internet belästigt 🥺👉🏻👈🏻""

Heißt nicht, dass es nicht schlimm ist, aber in dem Sinne Sucks2BeU",1,0,Secuta__
1262114171988193280,2020-05-17 20:14:02,"#maennerwelten starten schon im Kleinen. Ja, auch bei Kartenspielen. Freund*innen von mir haben ein gendergerechtes Kartenspiel entworfen und brauchen für den Druck noch etwas Unterstützung:
https://t.co/o9ytN3CvR4 (gibt ein Kartenspiel als Dankeschön - cooler gehts echt nicht)",1,0,KeilElena
1262113471338090496,2020-05-17 20:11:15,"Frauen die sagen das es gegenüber Männer keinen sexismus gibt, alles klar ... #maennerwelten",1,0,_maaayr
